date,id_provinsi,id_komoditas,harga_rata_rata,het,disparitas_het,status
2025-05-13,7,109,12120,13.100,-7.48,green
2025-05-13,9,109,12400,13.100,-5.34,green
2025-05-13,27,109,11843,12.500,-5.26,green
2025-05-13,15,109,11910,12.500,-4.72,green
2025-05-13,18,109,12000,12.500,-4.0,green
2025-05-13,11,109,12000,12.500,-4.0,green
2025-05-13,10,109,12586,13.100,-3.92,green
2025-05-13,34,109,13000,13.500,-3.7,green
2025-05-13,32,109,13000,13.500,-3.7,green
2025-05-13,2,109,12633,13.100,-3.56,green
2025-05-13,5,109,12700,13.100,-3.05,green
2025-05-13,17,109,12167,12.500,-2.66,green
2025-05-13,35,109,13157,13.500,-2.54,green
2025-05-13,23,109,12789,13.100,-2.37,green
2025-05-13,22,109,12827,13.100,-2.08,green
2025-05-13,13,109,12277,12.500,-1.78,green
2025-05-13,21,109,12900,13.100,-1.53,green
2025-05-13,16,109,12333,12.500,-1.34,green
2025-05-13,28,109,12343,12.500,-1.26,green
2025-05-13,3,109,12960,13.100,-1.07,green
2025-05-13,8,109,12400,12.500,-0.8,green
2025-05-13,19,109,13000,13.100,-0.76,green
2025-05-13,29,109,12417,12.500,-0.66,green
2025-05-13,4,109,13023,13.100,-0.59,green
2025-05-13,1,109,13043,13.100,-0.44,green
2025-05-13,20,109,13054,13.100,-0.35,green
2025-05-13,6,109,12456,12.500,-0.35,green
2025-05-13,26,109,12500,12.500,0.0,green
2025-05-13,25,109,12500,12.500,0.0,green
2025-05-13,24,109,13100,13.100,0.0,green
2025-05-13,12,109,12500,12.500,0.0,green
2025-05-13,38,109,13500,13.500,0.0,green
2025-05-13,14,109,12600,12.500,0.8,yellow
2025-05-13,31,109,13820,13.500,2.37,yellow
2025-05-13,25,109,12240,12500,-2.08,green
2025-05-13,26,109,12842,13100,-1.97,green
2025-05-13,27,109,13448,13500,-0.39,green
2025-05-13,1006,109,12642,12.500,1.14,yellow
