id_komoditas,komoditas,nama_sektor
27,Beras Premium,Subsektor Tanaman Pangan
28,Beras Medium,Subsektor Tanaman Pangan
109,Beras SPHP,Subsektor Tanaman Pangan
102,Jagung Tk Peternak,Subsektor Tanaman Pangan
29,Kedelai Biji Kering (Impor),Subsektor Tanaman Pangan
30,Bawang Merah,Subsektor Hortikultura
31,Bawang Putih Bonggol,Subsektor Hortikultura
32,Cabai Merah Keriting,Subsektor Hortikultura
126,Cabai Merah Besar,Subsektor Hortikultura
34,Daging Sapi Murni,Subsektor Peternakan
33,Cabai Rawit Merah,Subsektor Hortikultura
35,Daging Ayam Ras,Subsektor Peternakan
36,Telur Ayam Ras,Subsektor Peternakan
37,Gula Konsumsi,Subsektor Perkebunan
38,Minyak Goreng Kemasan,Subsektor Perkebunan
101,Minyak Goreng Curah,Subsektor Perkebunan
40,Tepung Terigu (Curah),Subsektor Tanaman Pangan
127,Minyakita,Subsektor Perkebunan
108,Tepung Terigu Kemasan,Subsektor Tanaman Pangan
104,Ikan Kembung,Subsektor Peternakan
105,Ikan Tongkol,Subsektor Peternakan
106,Ikan Bandeng,Subsektor Peternakan
107,Garam Konsumsi,Subsektor Perkebunan
149,Daging Kerbau Beku (Impor),Subsektor Peternakan
152,Daging Kerbau Segar (Lokal),Subsektor Peternakan
