id_provinsi,nama_provinsi,is_produsen
1,Aceh,y
17,Bali,y
16,Banten,y
7,Bengkulu,y
14,D.I Yogyakarta,y
11,DKI Jakarta,n
29,Gorontalo,y
5,Jambi,y
12,Jawa Barat,y
13,Jawa Tengah,y
15,Jawa Timur,y
20,Kalimantan Barat,y
22,Kalimantan Selatan,y
21,Kalimantan Tengah,y
23,Kalimantan Timur,n
24,Kalimantan Utara,n
9,Kepulauan Bangka Belitung,n
10,Kepulauan Riau,n
8,Lampung,y
31,Maluku,n
32,Maluku Utara,n
18,Nusa Tenggara Barat,y
19,Nusa Tenggara Timur,y
34,Papua,n
33,Papua Barat,n
35,Papua Barat Daya,n
36,Papua Pegunungan,n
38,Papua Selatan,n
37,Papua Tengah,n
4,Riau,y
30,Sulawesi Barat,y
27,Sulawesi Selatan,y
26,Sulawesi Tengah,y
28,Sulawesi Tenggara,y
25,Sulawesi Utara,y
3,Sumatera Barat,y
6,Sumatera Selatan,y
2,Sumatera Utara,y
